(0,0)
(2.35838e-06,-5.30718e-06)
(3.12437e-12,-2.35497e-06)
(-4.28407e-05,-1.06145e-05)
(2.65359e-11,-2e-05)
(64,0.000153908)
(-5.30711e-06,-2.47141e-05)
(-2.06068e-05,-1.06145e-05)
(1.12788e-21,-8.50082e-16)
(-4.21788e-05,-5.3073e-06)
(5.67496e-11,-2.47462e-05)
(-3.02946e-05,-3.18432e-05)
(-2.65359e-11,2e-05)
(-1.96502e-05,-1.59216e-05)
(-1.59214e-05,-2.91053e-05)
(4.28552e-05,-1.06142e-05)
(-1.17843e-21,8.88178e-16)
(-2.01536e-05,-5.30726e-06)
(-9.57203e-12,8.61718e-06)
(-4.00752e-05,-1.06145e-05)
(2.65359e-11,-2e-05)
(-3.83465e-05,-1.59217e-05)
(-5.30724e-06,2.24125e-05)
(3.89386e-05,-1.06142e-05)
(1.37194e-21,-4.05992e-16)
(-3.03647e-05,-5.30732e-06)
(-4.9767e-11,1.65888e-05)
(-1.4497e-05,-7.43006e-05)
(-2.65359e-11,2e-05)
(2.1608e-05,-1.59214e-05)
(0.000132679,-32)
(3.82309e-05,-1.06141e-05)
(0,0)
(3.77294e-05,-5.30713e-06)
(-4.24574e-05,32)
(2.98784e-05,-1.06143e-05)
(2.65359e-11,-2e-05)
(-1.16606e-05,-1.59216e-05)
(-5.30713e-06,-1.76446e-05)
(-2.27497e-05,-1.06145e-05)
(-5.38669e-22,4.05993e-16)
(4.54054e-05,-5.30707e-06)
(9.74782e-11,-4.0095e-05)
(5.72082e-06,-3.1843e-05)
(-2.65359e-11,2e-05)
(-2.48151e-05,-1.59216e-05)
(-1.59216e-05,4.66881e-06)
(-1.43123e-06,-1.06144e-05)
(1.17843e-21,-8.88178e-16)
(5.98765e-05,-5.30705e-06)
(-1.70179e-11,1.14227e-05)
(3.59559e-05,-1.06142e-05)
(2.65359e-11,-2e-05)
(2.96581e-05,-1.59214e-05)
(-5.30725e-06,2.55966e-05)
(1.765e-05,-1.06143e-05)
(-1.96116e-21,8.50081e-16)
(4.91633e-05,-5.307e-06)
(-6.8805e-11,2.13731e-05)
(64,0.000265359)
(-2.65359e-11,2e-05)
(-4.54748e-05,-1.59217e-05)
(-3.71503e-05,1.2991e-06)
(-3.35082e-05,-1.06146e-05)
